leadid,personname,gender,companyname,contactno,email,city,state,territoryid,regionid,productid,statusid,leadsourceid,businessneed,lead_gen_date,added_by,added_dts,executiveid
46,Person 46,Male,Company 46,900000046,person46@mail.com,City6,State6,32,3,3,1,4,Business need 46,2025-11-06,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,32
47,Person 47,Female,Company 47,900000047,person47@mail.com,City7,State7,11,1,6,2,6,Business need 47,2025-11-28,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,11
48,Person 48,Male,Company 48,900000048,person48@mail.com,City8,State8,21,2,2,4,5,Business need 48,2025-11-08,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,21
49,Person 49,Female,Company 49,900000049,person49@mail.com,City9,State9,44,4,5,1,3,Business need 49,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,44
50,Person 50,Male,Company 50,900000050,person50@mail.com,City10,State0,34,3,8,4,5,Business need 50,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,34
51,Person 51,Female,Company 51,900000051,person51@mail.com,City11,State1,39,4,3,1,3,Business need 51,2025-11-21,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,39
52,Person 52,Male,Company 52,900000052,person52@mail.com,City12,State2,6,1,12,1,2,Business need 52,2025-11-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,6
53,Person 53,Female,Company 53,900000053,person53@mail.com,City13,State3,37,4,12,3,6,Business need 53,2025-12-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,37
54,Person 54,Male,Company 54,900000054,person54@mail.com,City14,State4,40,4,8,2,3,Business need 54,2025-11-30,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,40
55,Person 55,Female,Company 55,900000055,person55@mail.com,City15,State5,18,2,10,5,2,Business need 55,2025-11-06,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,18
56,Person 56,Male,Company 56,900000056,person56@mail.com,City16,State6,3,1,3,2,2,Business need 56,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,3
57,Person 57,Female,Company 57,900000057,person57@mail.com,City17,State7,25,3,3,3,1,Business need 57,2025-11-11,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,25
58,Person 58,Male,Company 58,900000058,person58@mail.com,City18,State8,24,2,10,4,6,Business need 58,2025-12-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,24
59,Person 59,Female,Company 59,900000059,person59@mail.com,City19,State9,44,4,10,3,2,Business need 59,2025-11-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,44
60,Person 60,Male,Company 60,900000060,person60@mail.com,City0,State0,32,3,1,1,3,Business need 60,2025-12-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,32
61,Person 61,Female,Company 61,900000061,person61@mail.com,City1,State1,44,4,4,2,3,Business need 61,2025-11-08,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,44
62,Person 62,Male,Company 62,900000062,person62@mail.com,City2,State2,18,2,9,4,3,Business need 62,2025-11-05,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,18
63,Person 63,Female,Company 63,900000063,person63@mail.com,City3,State3,42,4,7,4,6,Business need 63,2025-11-28,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.233,42
64,Person 64,Male,Company 64,900000064,person64@mail.com,City4,State4,40,4,2,1,3,Business need 64,2025-11-19,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,40
65,Person 65,Female,Company 65,900000065,person65@mail.com,City5,State5,8,1,7,4,3,Business need 65,2025-11-11,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,8
66,Person 66,Male,Company 66,900000066,person66@mail.com,City6,State6,46,4,12,3,4,Business need 66,2025-11-10,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,46
67,Person 67,Female,Company 67,900000067,person67@mail.com,City7,State7,33,3,6,4,1,Business need 67,2025-11-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,33
68,Person 68,Male,Company 68,900000068,person68@mail.com,City8,State8,42,4,10,1,4,Business need 68,2025-11-10,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,42
69,Person 69,Female,Company 69,900000069,person69@mail.com,City9,State9,35,3,8,5,5,Business need 69,2025-11-17,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,35
70,Person 70,Male,Company 70,900000070,person70@mail.com,City10,State0,46,4,3,2,5,Business need 70,2025-11-12,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,46
71,Person 71,Female,Company 71,900000071,person71@mail.com,City11,State1,24,2,6,1,6,Business need 71,2025-12-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,24
72,Person 72,Male,Company 72,900000072,person72@mail.com,City12,State2,18,2,7,5,6,Business need 72,2025-11-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,18
73,Person 73,Female,Company 73,900000073,person73@mail.com,City13,State3,34,3,1,4,5,Business need 73,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,34
74,Person 74,Male,Company 74,900000074,person74@mail.com,City14,State4,25,3,2,1,5,Business need 74,2025-11-09,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,25
75,Person 75,Female,Company 75,900000075,person75@mail.com,City15,State5,18,2,9,4,4,Business need 75,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,18
76,Person 76,Male,Company 76,900000076,person76@mail.com,City16,State6,19,2,1,3,6,Business need 76,2025-11-12,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,19
77,Person 77,Female,Company 77,900000077,person77@mail.com,City17,State7,17,2,10,2,6,Business need 77,2025-11-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,17
78,Person 78,Male,Company 78,900000078,person78@mail.com,City18,State8,28,3,3,2,3,Business need 78,2025-12-10,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,28
79,Person 79,Female,Company 79,900000079,person79@mail.com,City19,State9,37,4,8,3,1,Business need 79,2025-11-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,37
80,Person 80,Male,Company 80,900000080,person80@mail.com,City0,State0,27,3,2,1,4,Business need 80,2025-11-18,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,27
81,Person 81,Female,Company 81,900000081,person81@mail.com,City1,State1,17,2,3,2,5,Business need 81,2025-11-10,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,17
82,Person 82,Male,Company 82,900000082,person82@mail.com,City2,State2,23,2,5,3,3,Business need 82,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,23
83,Person 83,Female,Company 83,900000083,person83@mail.com,City3,State3,39,4,7,4,2,Business need 83,2025-11-29,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,39
84,Person 84,Male,Company 84,900000084,person84@mail.com,City4,State4,42,4,12,3,1,Business need 84,2025-11-21,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,42
85,Person 85,Female,Company 85,900000085,person85@mail.com,City5,State5,7,1,4,3,5,Business need 85,2025-11-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,7
86,Person 86,Male,Company 86,900000086,person86@mail.com,City6,State6,7,1,5,2,4,Business need 86,2025-11-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,7
87,Person 87,Female,Company 87,900000087,person87@mail.com,City7,State7,4,1,3,4,2,Business need 87,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,4
88,Person 88,Male,Company 88,900000088,person88@mail.com,City8,State8,40,4,5,4,2,Business need 88,2025-11-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,40
89,Person 89,Female,Company 89,900000089,person89@mail.com,City9,State9,4,1,1,4,5,Business need 89,2025-11-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,4
90,Person 90,Male,Company 90,900000090,person90@mail.com,City10,State0,22,2,7,1,2,Business need 90,2025-11-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,22
91,Person 91,Female,Company 91,900000091,person91@mail.com,City11,State1,34,3,4,2,6,Business need 91,2025-11-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,34
92,Person 92,Male,Company 92,900000092,person92@mail.com,City12,State2,41,4,8,4,4,Business need 92,2025-11-14,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,41
93,Person 93,Female,Company 93,900000093,person93@mail.com,City13,State3,41,4,2,3,4,Business need 93,2025-11-06,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,41
94,Person 94,Male,Company 94,900000094,person94@mail.com,City14,State4,28,3,11,4,5,Business need 94,2025-11-21,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,28
95,Person 95,Female,Company 95,900000095,person95@mail.com,City15,State5,43,4,1,2,6,Business need 95,2025-11-30,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,43
96,Person 96,Male,Company 96,900000096,person96@mail.com,City16,State6,11,1,10,3,4,Business need 96,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,11
97,Person 97,Female,Company 97,900000097,person97@mail.com,City17,State7,9,1,1,1,2,Business need 97,2025-11-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,9
98,Person 98,Male,Company 98,900000098,person98@mail.com,City18,State8,2,1,8,2,3,Business need 98,2025-11-12,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,2
99,Person 99,Female,Company 99,900000099,person99@mail.com,City19,State9,46,4,1,1,1,Business need 99,2025-12-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,46
100,Person 100,Male,Company 100,900000100,person100@mail.com,City0,State0,33,3,8,3,2,Business need 100,2025-11-17,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.237,33
101,Person 101,Female,Company 101,900000101,person101@mail.com,City1,State1,2,1,12,3,2,Business need 101,2025-11-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,2
102,Person 102,Male,Company 102,900000102,person102@mail.com,City2,State2,23,2,11,1,4,Business need 102,2025-12-14,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,23
103,Person 103,Female,Company 103,900000103,person103@mail.com,City3,State3,2,1,3,4,4,Business need 103,2025-11-09,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,2
104,Person 104,Male,Company 104,900000104,person104@mail.com,City4,State4,8,1,6,2,4,Business need 104,2025-11-15,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,8
105,Person 105,Female,Company 105,900000105,person105@mail.com,City5,State5,31,3,7,2,1,Business need 105,2025-11-28,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,31
106,Person 106,Male,Company 106,900000106,person106@mail.com,City6,State6,23,2,12,2,4,Business need 106,2025-11-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,23
107,Person 107,Female,Company 107,900000107,person107@mail.com,City7,State7,45,4,6,3,6,Business need 107,2025-11-05,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,45
108,Person 108,Male,Company 108,900000108,person108@mail.com,City8,State8,32,3,5,3,4,Business need 108,2025-11-07,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,32
109,Person 109,Female,Company 109,900000109,person109@mail.com,City9,State9,32,3,12,2,4,Business need 109,2025-11-15,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,32
110,Person 110,Male,Company 110,900000110,person110@mail.com,City10,State0,17,2,2,5,1,Business need 110,2025-11-05,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,17
111,Person 111,Female,Company 111,900000111,person111@mail.com,City11,State1,35,3,2,5,2,Business need 111,2025-11-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,35
112,Person 112,Male,Company 112,900000112,person112@mail.com,City12,State2,21,2,1,1,6,Business need 112,2025-12-09,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,21
113,Person 113,Female,Company 113,900000113,person113@mail.com,City13,State3,22,2,10,4,4,Business need 113,2025-12-08,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,22
114,Person 114,Male,Company 114,900000114,person114@mail.com,City14,State4,47,4,2,4,5,Business need 114,2025-11-09,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,47
115,Person 115,Female,Company 115,900000115,person115@mail.com,City15,State5,26,3,1,2,4,Business need 115,2025-11-09,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,26
116,Person 116,Male,Company 116,900000116,person116@mail.com,City16,State6,41,4,11,1,5,Business need 116,2025-11-21,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,41
117,Person 117,Female,Company 117,900000117,person117@mail.com,City17,State7,35,3,7,4,5,Business need 117,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,35
118,Person 118,Male,Company 118,900000118,person118@mail.com,City18,State8,11,1,2,2,1,Business need 118,2025-11-06,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,11
119,Person 119,Female,Company 119,900000119,person119@mail.com,City19,State9,21,2,4,4,1,Business need 119,2025-11-19,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,21
120,Person 120,Male,Company 120,900000120,person120@mail.com,City0,State0,41,4,3,1,3,Business need 120,2025-11-27,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,41
121,Person 121,Female,Company 121,900000121,person121@mail.com,City1,State1,39,4,9,3,6,Business need 121,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,39
122,Person 122,Male,Company 122,900000122,person122@mail.com,City2,State2,8,1,2,4,5,Business need 122,2025-11-08,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,8
123,Person 123,Female,Company 123,900000123,person123@mail.com,City3,State3,14,2,8,2,3,Business need 123,2025-11-07,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,14
124,Person 124,Male,Company 124,900000124,person124@mail.com,City4,State4,18,2,12,1,1,Business need 124,2025-11-05,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,18
125,Person 125,Female,Company 125,900000125,person125@mail.com,City5,State5,16,2,5,3,6,Business need 125,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,16
126,Person 126,Male,Company 126,900000126,person126@mail.com,City6,State6,30,3,12,1,2,Business need 126,2025-11-08,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,30
127,Person 127,Female,Company 127,900000127,person127@mail.com,City7,State7,37,4,2,1,4,Business need 127,2025-11-08,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,37
128,Person 128,Male,Company 128,900000128,person128@mail.com,City8,State8,20,2,9,3,4,Business need 128,2025-11-29,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,20
129,Person 129,Female,Company 129,900000129,person129@mail.com,City9,State9,35,3,6,4,4,Business need 129,2025-11-28,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,35
130,Person 130,Male,Company 130,900000130,person130@mail.com,City10,State0,21,2,6,5,3,Business need 130,2025-11-29,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,21
131,Person 131,Female,Company 131,900000131,person131@mail.com,City11,State1,22,2,6,4,6,Business need 131,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,22
132,Person 132,Male,Company 132,900000132,person132@mail.com,City12,State2,46,4,5,1,3,Business need 132,2025-11-23,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,46
133,Person 133,Female,Company 133,900000133,person133@mail.com,City13,State3,36,3,4,2,2,Business need 133,2025-11-19,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,36
134,Person 134,Male,Company 134,900000134,person134@mail.com,City14,State4,20,2,1,2,4,Business need 134,2025-11-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,20
135,Person 135,Female,Company 135,900000135,person135@mail.com,City15,State5,4,1,8,3,1,Business need 135,2025-12-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,4
136,Person 136,Male,Company 136,900000136,person136@mail.com,City16,State6,15,2,6,4,2,Business need 136,2025-12-18,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,15
137,Person 137,Female,Company 137,900000137,person137@mail.com,City17,State7,24,2,2,1,4,Business need 137,2025-11-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,24
138,Person 138,Male,Company 138,900000138,person138@mail.com,City18,State8,33,3,4,2,4,Business need 138,2025-11-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,33
139,Person 139,Female,Company 139,900000139,person139@mail.com,City19,State9,6,1,2,1,4,Business need 139,2025-11-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,6
140,Person 140,Male,Company 140,900000140,person140@mail.com,City0,State0,2,1,1,5,6,Business need 140,2025-11-09,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,2
141,Person 141,Female,Company 141,900000141,person141@mail.com,City1,State1,10,1,10,1,4,Business need 141,2025-06-17,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,10
142,Person 142,Male,Company 142,900000142,person142@mail.com,City2,State2,1,1,2,3,6,Business need 142,2025-06-24,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.243,1
